%time,field.header.seq,field.header.stamp,field.header.frame_id,field.objects0.name,field.objects0.position.x,field.objects0.position.y,field.objects0.position.z,field.objects0.velocity.x,field.objects0.velocity.y,field.objects0.velocity.z
1651825341350624445,1,0,,Object 1,0.654979827649,-1.11860617878,0.0,0.778138065046,0.5084243017,0.0
1651825341365572150,2,0,,Object 1,0.671424925327,-1.08374021743,0.0,0.647072487367,0.266332811361,0.0
1651825341400347765,3,0,,Object 1,0.693342743551,-1.03716473398,0.0,0.811069709163,0.616498916936,0.0
1651825341431092894,4,0,,Object 1,0.688837326625,-0.995026615028,0.0,0.026751483466,0.481096477468,0.0
1651825341463602196,5,0,,Object 1,0.71151988705,-0.946552289613,0.0,0.855119796776,0.684106054719,0.0
1651825341499893580,6,0,,Object 1,0.717570768268,-0.911363116812,0.0,0.346356602055,0.279154002521,0.0
1651825341537082027,7,0,,Object 1,0.720064545963,-0.884105983464,0.0,0.242541434258,0.0507811423612,0.0
1651825341604239124,8,0,,Object 1,0.744850627932,-0.789258178104,0.0,0.445077392103,0.572166675014,0.0
1651825341641933665,9,0,,Object 1,0.764537447808,-0.737666248837,0.0,0.602024128146,0.272929664429,0.0
1651825341673165862,10,0,,Object 1,0.782761278807,-0.694534266959,0.0,0.558419126273,0.0177488536362,0.0
1651825341704862535,11,0,,Object 1,0.795220194728,-0.644598776716,0.0,0.384606530526,0.224914670569,0.0
1651825341746192265,12,0,,Object 1,0.795274849557,-0.585253919924,0.0,0.00535701804475,0.512577822561,0.0
1651825341777451831,13,0,,Object 1,0.79757615246,-0.5371364706,0.0,-0.240962578363,0.427835248667,0.0
1651825341813826412,14,0,,Object 1,0.819423486438,-0.495624563522,0.0,0.291421694544,0.450668336282,0.0
1651825341845448482,15,0,,Object 1,0.836283547271,-0.453829849387,0.0,0.362151081413,0.763084174178,0.0
1651825341865441129,16,0,,Object 1,0.835683171772,-0.416442872635,0.0,-0.157389151373,0.628297125252,0.0
1651825341898283323,17,0,,Object 1,0.841857041915,-0.374867670406,0.0,0.0428719540323,0.75774225256,0.0
1651825341930101431,18,0,,Object 1,0.845870156732,-0.335315205599,0.0,-0.0223792248863,0.694657798116,0.0
1651825341964970438,19,0,,Object 1,0.863795646499,-0.327309097879,0.0,0.397954312306,-0.263202369713,0.0
1651825342043485630,20,0,,Object 1,0.853668738463,-0.262485880847,0.0,0.0595386569271,0.432487922366,0.0
1651825342077304302,21,0,,Object 1,0.857268771938,-0.233276042945,0.0,0.128804794604,0.0397885311643,0.0
1651825342109790247,22,0,,Object 1,0.864415620121,-0.197265391479,0.0,0.233571064701,0.240621475798,0.0
1651825342138813190,23,0,,Object 1,0.859832726507,-0.15539661021,0.0,0.0354344182465,0.918755168809,0.0
1651825342171153410,24,0,,Object 1,0.858576646564,-0.112457204833,0.0,0.133497641891,0.936877270677,0.0
1651825342206239697,25,0,,Object 1,0.881239823851,-0.0805687881604,0.0,0.869391465026,0.613321499125,0.0
1651825342238850410,26,0,,Object 1,0.862990138577,-0.0404830319076,0.0,-0.349586276733,0.850152174997,0.0
1651825342282400066,27,0,,Object 1,0.876410940406,-0.00957635634159,0.0,0.588648678627,0.579594201387,0.0
1651825342321778017,28,0,,Object 1,0.869906111091,0.0238351745458,0.0,-0.0185064157965,0.657552643811,0.0
1651825342341716313,29,0,,Object 1,0.871604337412,0.0609164504115,0.0,0.232881817544,0.760892355259,0.0
1651825342362060351,30,0,,Object 1,0.874682849529,0.0948868584436,0.0,0.278707130274,0.675999919754,0.0
1651825342396772886,31,0,,Object 1,0.879790862051,0.129154888968,0.0,0.335900035393,0.683522270304,0.0
1651825342430205158,32,0,,Object 1,0.881011404243,0.165030872066,0.0,0.220952275185,0.723458999436,0.0
1651825342481773905,33,0,,Object 1,0.897682744498,0.214259346947,0.0,0.692204004144,1.14117176382,0.0
1651825342516981083,34,0,,Object 1,0.891939304039,0.244485939396,0.0,0.0143781788577,0.57074138717,0.0
1651825342710417090,35,0,,Object 1,0.891981345766,0.300925976652,0.0,-0.00184580261257,0.935738327646,0.0
1651825343011408982,36,0,,Object 1,0.903717627128,0.360800084092,0.0,0.132327016903,1.15628949873,0.0
1651825343178044451,37,0,,Object 1,0.899084177087,0.450799780733,0.0,-0.110845430406,1.31107779261,0.0
1651825343247404210,38,0,,Object 1,0.901441859264,0.532598101552,0.0,0.193334425359,-0.116193599653,0.0
1651825343284456359,39,0,,Object 1,0.906542567938,0.588411923352,0.0,0.172477657324,0.341390137462,0.0
1651825343296246002,40,0,,Object 1,0.913760121547,0.64600338312,0.0,0.221556242531,0.3947765501,0.0
1651825343328745997,41,0,,Object 1,0.921692756461,0.696383282323,0.0,0.242339817873,0.179317372831,0.0
1651825343444567542,42,0,,Object 1,0.918812554841,0.760236874223,0.0,0.00908395094844,0.24325592061,0.0
1651825343551873051,43,0,,Object 1,0.925225992997,0.836500277998,0.0,-0.0169984189861,0.445825435999,0.0
1651825343817714547,44,0,,Object 1,0.953963612809,0.907915576124,0.0,0.646835772048,0.286600005908,0.0
1651825343846729306,45,0,,Object 1,0.947682712008,0.966133251494,0.0,-0.29271196522,0.0753898078003,0.0
1651825343871375017,46,0,,Object 1,0.958316533005,1.0355823677,0.0,0.212656970111,0.406577661137,0.0
1651825343976060711,47,0,,Object 1,0.96523125382,1.05796446315,0.0,0.250725997403,0.195822592518,0.0
1651825344374279013,48,0,,Object 1,1.01937211962,1.10726700723,0.0,0.43086922366,-0.145991733348,0.0
1651825344413170891,49,0,,Object 1,1.02662468833,1.15255639308,0.0,-0.225182640332,-0.036317873241,0.0
1651825344449067661,50,0,,Object 1,1.06336930569,1.1896848065,0.0,0.655820964444,-0.0284733828275,0.0
1651825344474126407,51,0,,Object 1,1.0713397843,1.21933905167,0.0,-0.121756490442,-0.123620986219,0.0
1651825344494657015,52,0,,Object 1,1.10909966511,1.23465098353,0.0,0.733606686016,-0.218267118717,0.0
1651825344530286868,53,0,,Object 1,1.15077185806,1.23586301243,0.0,0.81023876279,-0.0269882155238,0.0
1651825344574647418,54,0,,Object 1,1.18521800637,1.24080538633,0.0,0.58704733777,0.0870006239978,0.0
1651825344611896698,55,0,,Object 1,1.21378516099,1.24190967691,0.0,0.413905429032,-0.0300513036149,0.0
1651825344647922563,56,0,,Object 1,1.24054962747,1.23508192745,0.0,0.359593985638,-0.26152515743,0.0
1651825344683907341,57,0,,Object 1,1.27129825774,1.25548436946,0.0,0.448705640027,0.673502046854,0.0
1651825344715907272,58,0,,Object 1,1.29926662176,1.23723664704,0.0,0.447476498927,-0.35405298096,0.0
1651825344745281946,59,0,,Object 1,1.32646060983,1.21715739895,0.0,0.484048484364,-0.322852436078,0.0
1651825345016582259,60,0,,Object 1,1.3679416542,1.17877656046,0.0,1.31249208565,-0.238077857116,0.0
1651825345183155037,61,0,,Object 1,1.40082002364,1.11950038636,0.0,1.30286387389,-0.822100146372,0.0
1651825345219404348,62,0,,Object 1,1.4311598821,1.1026855339,0.0,0.833433055503,-0.252119813324,0.0
1651825345322076882,63,0,,Object 1,1.44612762519,1.05493168971,0.0,0.792018497284,-0.38212195077,0.0
1651825345342636342,64,0,,Object 1,1.46502616838,1.02196456755,0.0,0.884246584079,-0.393780062612,0.0
1651825345369688432,65,0,,Object 1,1.48152030578,0.984714953338,0.0,0.819254446322,-0.527104785351,0.0
1651825345399376307,66,0,,Object 1,1.50188841668,0.952757857009,0.0,0.932653968475,-0.366137289541,0.0
