%time,field.header.seq,field.header.stamp,field.header.frame_id,field.objects0.name,field.objects0.position.x,field.objects0.position.y,field.objects0.position.z,field.objects0.velocity.x,field.objects0.velocity.y,field.objects0.velocity.z
1651823838592965816,1,0,,Object 1,0.843943852451,-0.368256469696,0.0,-0.0644318846106,0.679094679606,0.0
1651823838620474133,2,0,,Object 1,0.855845544338,-0.338853155826,0.0,0.194647156358,0.321144229409,0.0
1651823838694608551,3,0,,Object 1,0.855556943284,-0.297667148796,0.0,0.0159847593637,0.287456168865,0.0
1651823838718453632,4,0,,Object 1,0.859594108264,-0.258335543428,0.0,0.144694386993,0.231644658564,0.0
1651823838752750163,5,0,,Object 1,0.866736059984,-0.214165709337,0.0,0.236119656847,0.372946172675,0.0
1651823838788322395,6,0,,Object 1,0.864978830285,-0.184113737448,0.0,0.143782383285,0.516634271448,0.0
1651823838819414227,7,0,,Object 1,0.861440288954,-0.149017490451,0.0,0.0891910634838,0.663359367957,0.0
1651823838852775363,8,0,,Object 1,0.866904685232,-0.112785709306,0.0,0.365432361738,0.697905027182,0.0
1651823838886141082,9,0,,Object 1,0.864092005624,-0.0750017260222,0.0,0.124851488275,0.740553470728,0.0
1651823838924291721,10,0,,Object 1,0.86891471578,-0.0402030986754,0.0,0.354973052132,0.64999346259,0.0
1651823838966305617,11,0,,Object 1,0.871080132325,-0.00534342069179,0.0,0.271859652452,0.652910263284,0.0
1651823838989895515,12,0,,Object 1,0.871831308471,0.0310043557112,0.0,0.229539106902,0.695937445123,0.0
1651823839013853984,13,0,,Object 1,0.871524280972,0.064406458276,0.0,0.199193760572,0.609450246389,0.0
1651823839044772883,14,0,,Object 1,0.875673475133,0.0982984899854,0.0,0.331227924927,0.625515881254,0.0
1651823839089059001,15,0,,Object 1,0.878807948695,0.133005541501,0.0,0.3014622959,0.646399499241,0.0
1651823839122947424,16,0,,Object 1,0.886760227548,0.173535257619,0.0,0.449451233364,0.825980946405,0.0
1651823839158985310,17,0,,Object 1,0.887087381548,0.218750578331,0.0,0.219610001726,0.972747460006,0.0
1651823839354765694,18,0,,Object 1,0.891050887108,0.259455815454,0.0,0.128545236224,0.934433849398,0.0
1651823839659348213,19,0,,Object 1,0.898112639454,0.31128745493,0.0,0.135258903793,1.1219600402,0.0
1651823839821781390,20,0,,Object 1,0.90075079004,0.380961020788,0.0,0.0387662566594,1.2766833596,0.0
1651823839888036569,21,0,,Object 1,0.904545809163,0.452511881375,0.0,0.133422745999,0.632353017685,0.0
1651823839910351817,22,0,,Object 1,0.908297761612,0.516774872525,0.0,0.133404635436,0.417726661894,0.0
1651823839945510687,23,0,,Object 1,0.906785515282,0.58140416551,0.0,-0.0339905398507,0.428558025136,0.0
1651823839972648410,24,0,,Object 1,0.91473088993,0.640973920375,0.0,0.242573327486,0.279130026182,0.0
1651823840090619312,25,0,,Object 1,0.915477219555,0.704733245571,0.0,0.0610932274676,0.275690043358,0.0
1651823840189760364,26,0,,Object 1,0.921576812532,0.775047840344,0.0,0.131918390146,0.321444282604,0.0
1651823840461050113,27,0,,Object 1,0.936108481884,0.847010792957,0.0,0.3208412341,0.267098227022,0.0
1651823840487139798,28,0,,Object 1,0.942158140739,0.91528020766,0.0,0.0644226401819,0.154318413406,0.0
1651823840511143090,29,0,,Object 1,0.949661839008,0.985381127066,0.0,0.106799243768,0.206760717003,0.0
1651823840622545432,30,0,,Object 1,0.957860263189,1.03858639962,0.0,0.182934778428,0.153977668469,0.0
1651823841008795313,31,0,,Object 1,0.980131793022,1.08759446839,0.0,0.173047124112,-0.108283004481,0.0
1651823841043434422,32,0,,Object 1,0.999998134375,1.14102867643,0.0,0.0980673294007,0.0227269853039,0.0
1651823841078667475,33,0,,Object 1,1.02842894793,1.18292439183,0.0,0.356678521452,-0.0376284839545,0.0
1651823841111319102,34,0,,Object 1,1.04831410448,1.2167156895,0.0,0.186884879457,-0.134620714662,0.0
1651823841144139419,35,0,,Object 1,1.07846551736,1.23425236543,0.0,0.456527249173,-0.241938545297,0.0
1651823841183853444,36,0,,Object 1,1.11468361417,1.2393500593,0.0,0.581878497811,0.0831917874788,0.0
1651823841211641707,37,0,,Object 1,1.15116571784,1.24495141639,0.0,0.589002422965,0.0986007071975,0.0
1651823841244576794,38,0,,Object 1,1.183048443,1.24888915486,0.0,0.45400335026,0.0480959573293,0.0
1651823841275984112,39,0,,Object 1,1.2140662988,1.24975912041,0.0,0.427822694936,-0.0414331978185,0.0
1651823841308616439,40,0,,Object 1,1.24769787126,1.255177327,0.0,0.471658843876,0.22681197471,0.0
1651823841342038618,41,0,,Object 1,1.28029508922,1.24652345975,0.0,0.533880328289,-0.0438202135096,0.0
1651823841374833716,42,0,,Object 1,1.30628730787,1.23017725945,0.0,0.4013698771,-0.170418322527,0.0
1651823841651748509,43,0,,Object 1,1.3436754081,1.20554349224,0.0,0.895464550678,-0.18059386174,0.0
1651823841815706452,44,0,,Object 1,1.37950553709,1.16385839979,0.0,1.04443205647,-0.515642840551,0.0
1651823841842053144,45,0,,Object 1,1.41497459425,1.13899569313,0.0,0.977400074627,-0.461658690863,0.0
1651823841956775465,46,0,,Object 1,1.43124574039,1.1020908316,0.0,0.845716594491,-0.433071544206,0.0
