%time,field.header.seq,field.header.stamp,field.header.frame_id,field.objects0.name,field.objects0.position.x,field.objects0.position.y,field.objects0.position.z,field.objects0.velocity.x,field.objects0.velocity.y,field.objects0.velocity.z
1651824792220598934,1,0,,Object 1,0.653275086979,-1.12590538387,0.0,0.574201866998,0.487180489535,0.0
1651824792251243230,2,0,,Object 1,0.668876106665,-1.06388789796,0.0,0.674435001038,0.413943259726,0.0
1651824792287730343,3,0,,Object 1,0.682297090441,-1.0121497415,0.0,0.587274392362,0.217660388492,0.0
1651824792325186782,4,0,,Object 1,0.701135311524,-0.959540665108,0.0,0.728334870466,0.354693146547,0.0
1651824792354524063,5,0,,Object 1,0.709551909318,-0.909604444769,0.0,0.399023109261,0.383292283279,0.0
1651824792388060168,6,0,,Object 1,0.729861082551,-0.857057373412,0.0,0.745775627339,0.580387903191,0.0
1651824792421006183,7,0,,Object 1,0.740535278204,-0.812649057392,0.0,0.435609358179,0.44698702391,0.0
1651824792454524714,8,0,,Object 1,0.744352654616,-0.785760245203,0.0,0.209910010482,0.0391571529146,0.0
1651824792523466586,9,0,,Object 1,0.760624318901,-0.721579289643,0.0,0.232253406546,0.206525102218,0.0
1651824792557680059,10,0,,Object 1,0.780502584245,-0.661868355941,0.0,0.339915519516,0.253546966895,0.0
1651824792590427271,11,0,,Object 1,0.800377830697,-0.611246274743,0.0,0.339223039214,0.160600034783,0.0
1651824792606344480,12,0,,Object 1,0.816714314421,-0.562771635449,0.0,0.231143532546,0.278150258499,0.0
1651824792637821350,13,0,,Object 1,0.82654322226,-0.514991251549,0.0,0.0328457196174,0.439744259954,0.0
1651824792673634217,14,0,,Object 1,0.831794947742,-0.47213876591,0.0,-0.10511718417,0.471706377085,0.0
1651824792707198257,15,0,,Object 1,0.83994462274,-0.43320971043,0.0,0.0247883735501,0.497237498358,0.0
1651824792742790505,16,0,,Object 1,0.85104239314,-0.389521598533,0.0,0.164662672081,0.752490731322,0.0
